id,name,price,calorie,salt
SA06,チキンのシーザーサラダ,350,293,1.3
SA56,[Lサイズ]チキンノーシーザーサラダ,500,305,2.0
SA02,小エビのサラダ,350,127,1.4
SA52,[Lサイズ]小エビのサラダ,500,191,2.2
SA04,ガーデンサラダ,350,173,0.7
SA54,[Lサイズ]ガーデンサラダ,500,259,1.1
TP05,オリーブアンチョビペースト,100,97,0.7
SA12,オリーブアンチョビのガーデンサラダ,450,151,0.9
SA62,[Lサイズ]オリーブアンチョビのガーデンサラダ,600,178,1.1
SU01,コーンクリームスープ,150,146,1.1
SU07,[季節限定]たまねぎのズッパ,300,216,2.4
SU10,野菜と白いんげん豆の煮込み,450,317,2.2
RP08,ミニフィセル,150,189,1.0
RP09,ガーリックトースト,200,245,1.1
RP06,プチフォッカ,150,214,0.8
RP05,セットプチフォッカ,100,107,0.4
RP04,シナモンプチフォッカ,200,246,0.8
AA13,爽やかにんじんサラダ,200,93,0.9
AA16,プロシュート（パルマ産熟成生ハム）,400,55,1.4
AA20,バッファローモッツァレラ,300,209,0.5
AA25,柔らか青豆とペコリーノチーズの温サラダ,200,199,1.9
AA12,ほうれん草のくたくた,300,156,1.2
AA19,ブロッコリーのくたくた,300,125,1.1
AA15,カリッとポテト,250,389,2.1
AA04,ポップコーンシュリンプ,300,215,1.4
AA07,チョリソー（辛味ソーセージ）,400,425,2.9
AA26,イタリア風もつ煮込み,350,202,0.8
AA01,辛味チキン,300,295,1.8
AA05,エスカルゴのオーブン焼き,400,220,1.3
AA10,ムール貝のガーリック焼き,400,170,1.4
AA18,煉獄のたまご,300,319,2.0
AA02,アロスティチーニ（ラムの串焼き、2本）,400,224,0.6
PZ01,マルゲリータピザ,400,557,2.4
PZ02,バッファローモッツァレラのピザ,500,566,2.2
PZ07,オリーブアンチョビのマルゲリータピザ,500,648
PZ08,ソーセージピザ,400,710,4.1
PZ06,たっぷりコーンのピザ,400,624,2.4
PA01,たらこソースシシリー風,400,548,1.9
PA07,スパゲッティポモドーロ,400,684,2.6
PA23,たっぷりペコリーノチーズのポモドーロ,500,762,3.3
PA25,ペンネアラビアータ,400,416,3.0
PA19,スパゲッティアラビアータ,400,611,3.0
PA03,ペペロンチーノ,300,541,1.6
PA17,半熟卵のペペロンチーノ,350,624,1.8
PA08,アーリオ・オーリオ,300,539,1.6
TP01,トッピング半熟卵,50,83,0.2
PA05,カルボナーラ,500,740,2.5
PA18,たっぷりペコリーノチーズのカルボナーラ,600,818,3.3
PA02,ミートソースボロニア風,400,564,2.7
PA12,半熟卵のミートソースボロニア風,450,647,2.9
PA11,イカの墨入りスパゲッティ,500,622,2.5
PA13,ラムのラグーソース（ペンネ）,600,453,1.9
PA15,ラムのラグーソース（スパゲッティ）,600,664,2.0
PA06,エビとブロッコリーのオーロラソース,500,665,2.6
TP02,ペコリーノ・ロマーノ,100,78,0.8
TP03,レフォールソース,100,88,0.5
DG01,ミラノ風ドリア,300,521,2.5
DG05,セットプチフォッカ付きミラノ風ドリア,400,628,2.9
DG02,チーズたっぷりミラノ風ドリア,400,722,3.4
DG03,半熟卵のミラノ風ドリア,350,604,2.7
DG07,エビクリームグラタン,400,505,2.0
MT07,ディアボラ風ハンバーグ,500,653,3.1
TP04,野菜ペースト,100,72,0.3
MT01,ハンバーグステーキ,400,582,2.7
MT03,イタリアンハンバーグ,500,702,2.9
MT15,チョリソーとハンバーグの盛合せ,550,700,3.6
MT06,ポップコーンシュリンプとハンバーグの盛合せ,600,750,3.4
RP01,ライス,150,303,0.0
RP02,ラージライス,200,454,0.0
RP03,スモールライス,100,151,0.0
MT02,若鶏のディアボラ風,500,730,2.8
MT12,[季節限定]リゾット＆牛肉のシチュー,900,545,2.4
MT11,[季節限定]牛肉のシチュー,700,299,0.7
MT18,レフォールソースのハンバーグとサルシッチャの盛合せ,600,660,3.1
MT09,リブステーキ,1000,548,1.8
AA52,アロスティチーニWサイズ（ラムの串焼き、4本）,800,448,1.2
DE17,フレンチトースト,400,299,0.5
DE25,シチリア産ピスタチオのジェラート,350,145,0.1
DE01,ティラミス クラシコ,300,229,0.1
DE12,プリンとティラミスクラシコの盛合せ,500,445,0.2
DE05,イタリアンジェラート,250,121,0.1
DE15,コーヒーゼリー＆イタリアンジェラート,350,165,0.1
DE14,とろけるティラミス＆コーヒーゼリー,400,273,0.1
DE04,ジェラート＆シナモンプチフォッカ,450,367,0.9
DE02,[季節限定]カプチーノ（アイスケーキ）,200,114,0.0
DE08,[季節限定]プリンとカプチーノの盛合せ,400,330,0.1
DE13,トリフアイスクリーム,350,164,0.1
DE28,とろっとパンナコッタ,250,128,0.1
DE06,イタリアンプリン,250,216,0.1
DE07,チョコレートケーキ,300,166,0.1
DE11,スッキリレモンのシャーベット,200,127,0.0
